release_date,price,developer
2018-01-04,4.99,Kotoshiro
2018-01-04,Free To Play,Secret Level SRL
2017-07-24,Free To Play,Poolians.com
2017-12-07,0.99,彼岸领域
2018-01-04,3.99,Trickjump Games Ltd
2018-01-04,9.99,Poppermost Productions
2018-01-04,18.99,Poppermost Productions
2018-01-04,29.99,Poppermost Productions
2018-01-04,10.99,Stegalosaurus Game Development
2018-01-04,3.99,Copperpick Studio
2018-01-03,2.99,Ghulam Jewel
2018-01-03,1.5899999999999999,Apillo
2018-01-03,14.99,Poppermost Productions
2018-01-03,1.99,Apillo
2018-01-03,59.99,Poppermost Productions
2018-01-03,0.99,Tero Lunkka
2017-12-22,2.99,FrozenPepper
2017-12-23,2.99,FrozenPepper
2018-01-03,4.99,Casey Labrack
1997-06-30,9.99,Stainless Games Ltd
1998-11-08,9.99,Valve
2016-11-25,1.99,dev4play
2018-01-01,0.99,ETGgames
2018-01-01,8.99,The Commander
2018-01-01,0.99,"lalalaZero,Urbanoff"
2006-07-06,6.99,Strategy First
2006-07-06,6.99,Strategy First
2006-07-11,9.99,Outerlight Ltd.
2017-12-29,7.99,Ultraint
2017-12-29,10.99,TPM.CO SOFT WORKS
2017-12-29,9.99,Wonderbox Games
2017-12-29,9.99,Wonderbox Games
2017-12-30,1.99,Mad Unicorn Games
2017-12-29,0.99,Emanon Studios
2005-08-09,9.99,GlyphX Games
2006-09-29,9.99,Introversion Software
2006-11-20,9.99,Outerlight Ltd.
2006-11-29,9.99,Facepunch Studios
2006-11-24,39.99,SimBin
2006-12-14,Free,Unknown Worlds Entertainment
2006-12-19,4.99,"CINEMAX, s.r.o."
2003-08-23,4.99,Sick Puppies
2006-12-21,4.99,Deepred
2006-04-17,19.99,Funcom
2006-08-01,9.99,Bugbear Entertainment
2005-07-12,7.49,Bugbear Entertainment
2007-06-26,14.99,"CAPCOM Co., Ltd."
2006-07-24,9.99,"FireFly Studios,Firaxis Games"
2002-11-12,4.99,Arkane Studios
2000-11-17,9.99,Funcom
2006-07-24,4.99,Firaxis Games
2003-10-23,9.99,PopTop
2006-10-16,9.99,"Firaxis Games,Feral Interactive (Mac)"
1998-10-31,4.99,PopTop
2007-06-01,4.99,Elephant Games
1995-04-01,4.99,"MicroProse Software, Inc"
2007-06-05,8.99,"Crystal Dynamics,Feral Interactive (Mac)"
2006-05-23,19.99,"CAPCOM Co., Ltd."
2006-10-17,19.99,Telltale Games
1996-06-17,4.99,id Software
2006-12-20,19.99,Telltale Games
1995-04-30,4.99,id Software
1995-06-01,14.99,id Software
1994-05-05,4.99,id Software
1994-08-03,4.99,id Software
2001-11-20,4.99,Gray Matter Studios
1997-02-28,2.99,Ritual Entertainment
1993-10-10,2.99,id Software
2003-09-09,9.99,Terminal Reality
2007-08-03,2.99,Rogue Entertainment
2007-05-31,4.99,id Software
2007-03-20,4.99,Metamorf
2006-01-01,12.99,Relic Entertainment
2007-08-21,19.99,"2K Boston,2K Australia"
2006-01-01,12.99,Relic Entertainment
2006-10-09,12.99,Relic Entertainment
2004-09-22,9.99,The Creative Assembly
2006-06-26,4.99,The Creative Assembly
2007-12-14,6.99,Big Fish Games
2004-04-20,9.99,Rockstar North
2003-07-01,9.99,Rockstar San Diego
2003-10-14,9.99,Remedy Entertainment
2006-04-07,6.99,Crystal Dynamics
2001-07-25,9.99,Remedy Entertainment
2008-10-28,19.99,EA Los Angeles
2007-10-10,9.99,Infinite Interactive
2007-10-23,9.99,Momentum Digital Media Technologies
2007-08-01,9.99,"Gamebryo,Virtual Playground"
2007-09-01,9.99,SCS Software
2007-12-03,9.99,SCS Software
2008-02-08,5.99,Pivotal Games
2007-05-08,7.99,Bohemia Interactive
2006-05-02,9.99,Spellbound
2007-10-16,4.99,Haggard Games
2006-05-30,2.99,Eugen Systems
2006-10-26,19.99,"Frontier,Aspyr (Mac)"
2005-03-14,2.99,Eugen Systems
2003-02-03,14.99,"Epic Games, Inc."
1998-04-30,9.99,"Epic Games, Inc."
2008-03-21,4.99,Sanzaru Games
2003-02-18,9.99,Ubisoft
2004-03-23,9.99,Crytek Studios
2000-10-25,9.99,"Epic Games, Inc."
2006-12-12,9.99,Ubisoft Montreal
2005-03-15,9.99,Ubisoft
2008-05-28,9.99,Last Day of Work
2008-06-04,4.99,SpinTop Games
2008-06-10,9.99,MumboJumbo
2008-06-10,9.99,MumboJumbo
2008-06-10,9.99,MumboJumbo
2008-06-10,9.99,MumboJumbo
2005-12-08,9.99,MumboJumbo
2007-11-13,9.99,MumboJumbo
2007-11-13,9.99,Ubisoft
2005-12-08,9.99,MumboJumbo
2007-03-27,9.99,"Ubisoft Bulgaria,Ubisoft Montpellier"
2007-03-20,9.99,Ubisoft Romania
2006-12-15,9.99,1C: Maddox Games
2008-03-24,9.99,Ubisoft Romania
2005-09-15,9.99,Telltale Games
