genres,playtime_forever,ranking
Action,2329725980,1
RPG,721185905,2
Indie,694673738,3
Adventure,611569696,4
Free to Play,388719902,5
Strategy,302812869,6
Simulation,298147828,7
Massively Multiplayer,211141599,8
Casual,188390714,9
Early Access,105928800,10
Sports,11095466,11
Racing,7886271,12
Utilities,779412,13
Animation &amp; Modeling,389118,14
Design &amp; Illustration,343075,15
Web Publishing,186537,16
Education,151573,17
Video Production,92655,18
Photo Editing,43518,19
Software Training,28155,20
Audio Production,21893,21
